PLAYERS,NATIONALITY,TYPE,PRICE PAID,TEAM
Avanish Rao Aravelly,Indian,Wicket-Keeper,2000000,CSK
Mustafizur Rahman,Overseas,Bowler,20000000,CSK
Daryl Mitchell,Overseas,All-Rounder,140000000,CSK
Sameer Rizvi,Indian,Batter,84000000,CSK
Rachin Ravindra,Overseas,All-Rounder,18000000,CSK
Shardul Thakur,Indian,All-Rounder,40000000,CSK
Ricky Bhui,Indian,Wicket-Keeper,2000000,DC
Sumit Kumar,Indian,All-Rounder,10000000,DC
Swastik Chhikara,Indian,Batter,2000000,DC
Jhye Richardson,Overseas,Bowler,50000000,DC
Shai Hope,Overseas,Wicket-Keeper,7500000,DC
Rasikh Dar,Indian,Bowler,2000000,DC
Kumar Kushagra,Indian,Wicket-Keeper,72000000,DC
Tristan Stubbs,Overseas,Wicket-Keeper,5000000,DC
Harry Brook,Overseas,Batter,40000000,DC
Kartik Tyagi,Indian,Bowler,6000000,GT
Spencer Johnson,Overseas,Bowler,100000000,GT
Manav Suthar,Indian,Bowler,2000000,GT
Robin Minz,Indian,Wicket-Keeper,36000000,GT
Sushant Mishra,Indian,Bowler,22000000,GT
Azmatullah Omarzai,Overseas,All-Rounder,5000000,GT
Shahrukh Khan,Indian,All-Rounder,74000000,GT
Umesh Yadav,Indian,Bowler,58000000,GT
Mujeeb Rahman,Overseas,Bowler,20000000,KKR
Manish Pandey,Indian,Batter,5000000,KKR
Gus Atkinson,Overseas,Bowler,10000000,KKR
Angkrish Raghuvanshi,Indian,Batter,2000000,KKR
Mitchell Starc,Overseas,Bowler,247500000,KKR
Sherfane Rutherford,Overseas,Batter,15000000,KKR
Ramandeep Singh,Indian,All-Rounder,2000000,KKR
K.S. Bharat,Indian,Wicket-Keeper,5000000,KKR
Chetan Sakariya,Indian,Bowler,5000000,KKR
Sakib Hussain,Indian,Bowler,2000000,KKR
Ashton Turner,Overseas,Batter,10000000,LSG
David Willey,Overseas,All-Rounder,20000000,LSG
M. Siddharth,Indian,Bowler,24000000,LSG
Shivam Mavi,Indian,Bowler,64000000,LSG
Arshin Kulkarni,Indian,All-Rounder,2000000,LSG
Mohd. Arshad Khan,Indian,All-Rounder,2000000,LSG
Dilshan Madushanka,Overseas,Bowler,46000000,MI
Shreyas Gopal,Indian,Bowler,2000000,MI
Shivalik Sharma,Indian,All-Rounder,2000000,MI
Anshul Kamboj,Indian,All-Rounder,2000000,MI
Mohammad Nabi,Overseas,All-Rounder,15000000,MI
Naman Dhir,Indian,All-Rounder,2000000,MI
Nuwan Thushara,Overseas,Bowler,48000000,MI
Gerald Coetzee,Overseas,All-Rounder,50000000,MI
Chris Woakes,Overseas,All-Rounder,42000000,PK
Tanay Thyagarajann,Indian,All-Rounder,2000000,PK
Vishwanath Pratap Singh,Indian,All-Rounder,2000000,PK
Ashutosh Sharma,Indian,All-Rounder,2000000,PK
Shashank Singh,Indian,Batter,2000000,PK
Rilee Rossouw,Overseas,Batter,80000000,PK
Prince Choudhary,Indian,Bowler,2000000,PK
Harshal Patel,Indian,All-Rounder,117500000,PK
Shubham Dubey,Indian,Batter,58000000,RR
Rovman Powell,Overseas,Batter,74000000,RR
Abid Mushtaq,Indian,All-Rounder,2000000,RR
Nandre Burger,Overseas,Bowler,5000000,RR
Tom Kohler-Cadmore,Overseas,Wicket-Keeper,4000000,RR
Lockie Ferguson,Overseas,Bowler,20000000,RCB
Tom Curran,Overseas,All-Rounder,15000000,RCB
Saurav Chuahan,Indian,Batter,2000000,RCB
Alzarri Joseph,Overseas,Bowler,115000000,RCB
Swapnil Singh,Indian,All-Rounder,2000000,RCB
Yash Dayal,Indian,Bowler,50000000,RCB
Jhathavedh Subramanyan,Indian,Bowler,2000000,SH
Akash Singh,Indian,Bowler,2000000,SH
Jaydev Unadkat,Indian,Bowler,16000000,SH
Wanindu Hasaranga,Overseas,All-Rounder,15000000,SH
Pat Cummins,Overseas,All-Rounder,205000000,SH
Travis Head,Overseas,Batter,68000000,SH
